university,,type,State,,Year of Formation
Abhilashi University,,Private,Himachal Pradesh,,2015
Academy Of Maritime Education And Training,,Deemed,Tamil Nadu,,2007
Acharya Nagarjuna University,,State,Andhra Pradesh,,1976
Acharya Ng Ranga Agricultural University,,State,Telangana,,1964
Adamas University,,Private,West Bengal,,2014
Adesh University,,Private,Punjab,,2012
Adikavi Nannaya University,,State,Andhra Pradesh,,2006
Ahmedabad University,,Private,Gujarat,,2009
Aisect University,,Private,Madhya Pradesh,,2010
Ajeenkya D Y Patil University,,Private,Maharashtra,,2002
AKS University,,Private,Madhya Pradesh,,2011
Alagappa University,,State,Tamil Nadu,,1985
Al-Falah University,,Private,Haryana,,2014
Aliah University,,State,West Bengal,,2007
Aligarh Muslim University,,Central,Uttar Pradesh,,1920
Alliance University,,Private,Karnataka,,2010
Amity University,,Private,Maharashtra,,2014
Amity University,,Private,Chhattisgarh,,2014
Amity University,,Private,Madhya Pradesh,,2010
Amity University,,Private,Rajasthan,,2008
Amity University,,Private,Haryana,,2010
Amity University,,Private,Uttar Pradesh,,2005
Amrita Vishwa Vidyapeetham,,Deemed,Tamil Nadu,,2003
Anand Agricultural University,,State,Gujarat,,2004
Andhra University,,State,Andhra Pradesh,,1926
Anna University,,State,Tamil Nadu,,1978
Annamalai University,,State,Tamil Nadu,,1929
Ansal University,,Private,Haryana,,2012
Apeejay Stya University,,Private,Haryana,,2010
Apex Professional University,,Private,Arunachal Pradesh,,2013
APG (Alakh Prakash Goyal) University,,Private,Himachal Pradesh,,2012
Arni University,,Private,Himachal Pradesh,,2009
Arunachal University of Studies,,Private,Arunachal Pradesh,,2012
Arunodaya University,,Private,Arunachal Pradesh,,2014
Aryabhatta Knowledge University,,State,Bihar,,2008
Ashoka University,,Private,Haryana,,2014
Assam Agricultural University,,State,Assam,,1968
Assam Don Bosco University,,Private,Assam,,2009
Assam Down Town University,,Private,Assam,,2010
Assam Rajiv Gandhi University of Co-operative Management,,State,Assam,,2010
Assam Science & Technology University,,State,Assam,,2011
Assam University,,Central,Assam,,1994
Assam Women’S University,,State,Assam,,2013
Atal Bihari Vajpai Hindi Vishwavidyalaya,,State,Madhya Pradesh,,2011
AURO University of Hospitality and Management,,Private,Gujarat,,2011
Avinashilingam Institute For Home Science & Higher Education For Women,,Deemed,Tamil Nadu,,1988
Awadesh Pratap Singh University,,State,Madhya Pradesh,,1968
Ayush And Health Science University,,State,Chhattisgarh,,2008
Azim Premji University,,Private,Karnataka,,2010
Baba Farid University of Health Sciences,,State,Punjab,,2002
Baba Ghulam Shah Badshah University,,State,Jammu & Kashmir,,2005
Baba Mast Nath University,,Private,Haryana,,2012
Babasaheb Bhimrao Ambedkar Bihar University,,State,Bihar,,1952
Babasaheb Bhimrao Ambedkar University,,Central,Uttar Pradesh,,1996
Babu Banarasi Das University,,Private,Uttar Pradesh,,2010
Baddi University of Emerging Sciences & Technology,,Private,Himachal Pradesh,,2009
Bahra University,,Private,Himachal Pradesh,,2011
Banaras Hindu University,,Central,Uttar Pradesh,,1916
Banasthai Vidyapith,,Deemed,Rajasthan,,1983
Bangalore University,,State,Karnataka,,1964
Barkatullah University,,State,Madhya Pradesh,,1970
Bastar Vishwavidyalaya,,State,Chhattisgarh,,2008
Berhampur University,,State,Odisha,,1967
Bhagat Phool Singh Mahila Vishwavidyalaya,,State,Haryana,,2006
Bhagwant University,,Private,Rajasthan,,2008
Bharat Ratna Dr Br Ambedkar University,,State,Delhi,,2007
Bharath Institute Of Higher Education & Research,,Deemed,Tamil Nadu,,2002
Bharathiar University,,State,Tamil Nadu,,1982
Bharathidasan University,,State,Tamil Nadu,,1982
Bharati Vidyapeeth,,Deemed,Maharashtra,,1996
Bhatkhande Music Institute,,Deemed,Uttar Pradesh,,2000
Bhupendra Narayan Mandal University,,State,Bihar,,1993
Bidhan Chandra Krishi Vishwavidyalaya,,State,West Bengal,,1974
Bihar Agricultural University,,State,Bihar,,2010
Bihar Yoga Bharati,,Deemed,Bihar,,2000
Biju Patnaik University of Technology,,State,Odisha,,2003
Bilaspur Vishwavidyalaya,,State,Chhattisgarh,,2011
Birla Institute Of Technology,,Deemed,Jharkhand,,1986
Birla Institute Of Technology & Science,,Deemed,Rajasthan,,1964
Birsa Agricultural University,,State,Jharkhand,,1980
BLDE University,,Deemed,Karnataka,,2008
Bml Munjal University,,Private,Haryana,,2014
Bodoland University,,State,Assam,,2009
BS Abdur Rahman Institute Of Science And Technology,,Deemed,Tamil Nadu,,2008
Bundelkhand University,,State,Uttar Pradesh,,1975
